timestamp,joystick_throttle,joystick_direction,distance_L,distance_C,distance_R
1744232773.628600,-1.0,-0.2,193.94,625.56,188.7
1744232774.0658000,-1.0,0.0,207.27,536.01,176.84
1744232774.607200,-1.0,0.01,199.54,427.9,901.48
1744232775.047700,-1.0,0.03,260.79,335.9,948.58
1744232775.5908400,-1.0,0.75,369.76,277.96,1295.19
1744232776.1396400,-1.0,-0.01,164.7,1394.06,1354.15
1744232776.5906300,-1.0,-0.58,1084.74,787.56,1457.24
1744232777.1289900,-1.0,0.01,246.8,706.64,152.76
1744232777.5695100,-1.0,0.01,246.93,1115.85,151.66
1744232778.1099400,-1.0,0.02,247.95,1018.09,150.63
1744232778.5492900,-1.0,0.02,264.06,931.49,143.6
1744232779.0907800,-1.0,0.02,282.17,819.94,124.96
1744232779.6293400,-1.0,-0.12,296.4,730.76,113.83
1744232780.0670500,-1.0,0.0,306.46,639.79,104.06
1744232780.6047400,-1.0,0.0,329.56,538.42,85.54
1744232781.0464700,-1.0,0.0,313.74,442.09,871.95
1744232781.5876400,-1.0,0.0,377.16,345.26,887.45
1744232782.137870,-1.0,0.87,401.2,1269.84,1413.32
1744232782.583020,-1.0,0.0,181.79,852.0,1264.57
1744232783.1410900,-1.0,-0.62,1485.0,1675.58,1227.11
1744232783.5897500,-1.0,0.0,1457.48,1366.83,78.22
1744232784.1315700,-1.0,0.0,379.04,1083.1,58.27
1744232784.572600,-1.0,0.0,405.62,1170.24,46.86
1744232785.113090,-1.0,0.0,419.97,1057.34,36.06
1744232785.5533100,-1.0,0.0,458.61,966.0,61.13
1744232786.1081500,-1.0,-0.49,484.82,898.0,2401.23
1744232786.5846100,-1.0,-0.98,480.2,898.16,6220.0
1744232787.131080,-1.0,-0.88,484.9,897.22,1131.6
1744232787.5910800,-1.0,0.01,484.25,893.67,3468.06
1744232788.1470100,-1.0,0.01,496.47,893.67,2770.34
1744232788.595760,-1.0,0.01,483.67,893.01,1159.48
1744232789.3608500,-1.0,0.0,484.0,892.89,4213.79
1744232789.805810,-1.0,0.01,487.64,898.57,731.91
1744232790.3455100,-1.0,0.0,458.2,847.46,40.07
1744232790.884760,-1.0,0.0,447.73,744.22,57.86
1744232791.3235500,-1.0,0.03,437.71,654.67,113.59
1744232791.8659900,-1.0,0.33,415.31,527.75,863.28
1744232792.3110500,-1.0,0.41,437.43,424.96,1426.86
1744232792.8656800,-1.0,0.4,602.62,1740.27,1400.93
1744232793.3151500,-1.0,-0.02,1549.03,1318.13,175.94
1744232793.8567300,-1.0,-0.52,249.83,1223.11,192.67
1744232794.3046000,-1.0,0.04,242.63,1156.5,1396.56
1744232794.872150,-1.0,0.57,1597.97,335.41,1372.27
1744232795.3119200,-1.0,-0.01,146.59,968.49,277.35
1744232795.8667700,-1.0,-0.41,146.59,933.94,253.39
1744232796.3059000,-1.0,0.0,236.17,832.82,217.73
1744232796.844360,-1.0,0.0,243.12,705.82,205.96
1744232797.38235,-1.0,0.0,256.09,595.71,202.52
1744232797.821060,-1.0,0.0,276.37,497.08,419.31
1744232798.3602600,-1.0,0.18,291.99,385.13,438.29
1744232798.7983400,-1.0,0.37,321.1,305.19,450.88
1744232799.34041,-1.0,0.49,434.24,885.73,438.45
1744232799.8836000,-1.0,0.0,143.44,1502.62,310.92
1744232800.326670,-1.0,-0.19,134.48,1403.18,274.2
1744232800.8685400,-1.0,-0.01,133.83,1284.48,280.78
1744232801.3095900,-1.0,0.0,139.35,1188.76,251.02
1744232801.8502000,-1.0,0.0,143.07,1075.66,240.96
1744232802.2900300,-1.0,0.0,156.15,983.33,234.74
1744232802.8295100,-1.0,0.0,165.44,884.1,224.19
1744232803.3683700,-1.0,0.0,170.96,759.55,214.38
1744232803.8062100,-1.0,0.0,188.7,664.12,195.82
1744232804.3434900,-1.0,0.0,207.02,559.97,175.74
1744232804.8802200,-1.0,0.0,239.08,443.97,178.19
1744232805.3212300,-1.0,0.0,265.08,359.58,939.91
1744232805.863240,-1.0,0.67,310.18,318.61,959.17
1744232806.3150600,-1.0,0.0,1785.45,1407.19,194.43
1744232806.8547100,-1.0,-0.29,184.24,790.83,222.88
1744232807.2930600,-1.0,-0.01,202.69,716.13,187.52
1744232807.8347100,-1.0,0.0,208.66,1085.15,187.11
1744232808.3748100,-1.0,0.0,222.35,981.21,180.89
1744232808.8162300,-1.0,0.0,233.97,897.67,178.72
1744232809.3553500,-1.0,0.0,240.47,793.2,166.74
1744232809.793950,-1.0,0.0,261.07,708.11,157.91
1744232810.3319900,-1.0,0.0,269.62,593.66,149.2
1744232810.8748000,-1.0,0.0,290.64,481.87,922.16
1744232811.3157000,-1.0,0.0,294.85,386.73,908.55
1744232811.8567400,-1.0,0.47,331.57,302.05,957.25
1744232812.307770,-1.0,0.0,440.9,1257.53,1613.14
1744232812.8598200,-1.0,0.0,161.39,1542.65,1521.88
1744232813.2998700,-1.0,0.0,106.11,1018.21,324.29
1744232813.8417800,-1.0,-0.01,114.98,1281.5,306.46
1744232814.3841200,-1.0,-0.29,254.12,1173.96,282.62
1744232814.8255700,-1.0,0.0,188.5,1084.49,274.32
1744232815.3661600,-1.0,0.0,201.79,958.6,265.57
1744232815.8056400,-1.0,0.0,225.26,860.83,264.96
1744232816.344790,-1.0,0.0,241.94,732.48,261.2
1744232816.8833100,-1.0,0.04,268.31,614.76,248.52
1744232817.321510,-1.0,0.06,290.84,515.98,250.89
1744232817.8674700,-1.0,0.41,345.35,409.26,1529.28
1744232818.3219100,-1.0,0.47,518.35,1853.77,1517.55
1744232818.8711100,-1.0,0.01,273.01,1414.47,1193.13
1744232819.3225400,-1.0,-0.34,292.68,1316.13,1686.99
1744232819.8643200,-1.0,0.0,312.1,1221.96,101.53
1744232820.3050700,-1.0,0.0,312.23,1133.03,107.91
1744232820.8460700,-1.0,0.0,286.26,1016.78,119.4
1744232821.2860900,-1.0,0.0,391.18,942.98,124.96
1744232821.8257400,-1.0,0.0,315.46,843.94,135.34
1744232822.3644200,-1.0,0.0,309.49,729.09,145.97
1744232822.8028200,-1.0,0.02,306.09,647.31,155.91
1744232823.3421000,-1.0,0.02,307.85,517.61,400.01
1744232823.8805200,-1.0,0.31,306.05,401.85,438.45
1744232824.3192600,-1.0,0.53,315.95,314.15,470.83
1744232824.8656600,-1.0,0.0,463.84,1634.2,412.16
1744232825.320260,-1.0,0.0,463.84,1514.6,397.81
1744232825.8626800,-1.0,0.0,154.44,1400.6,248.03
1744232826.304400,-1.0,0.0,171.32,1295.56,233.43
1744232826.8517500,-1.0,-0.38,273.59,1187.33,1149.34
1744232827.2919800,-1.0,-0.27,242.43,1086.01,148.34
1744232827.8321600,-1.0,0.0,235.52,977.9,178.52
1744232828.371550,-1.0,0.17,220.23,874.2,193.49
1744232828.8100200,-1.0,0.01,195.65,779.83,202.77
1744232829.3478900,-1.0,0.12,181.91,665.34,206.24
1744232829.7849700,-1.0,-0.07,184.29,578.86,196.14
1744232830.3221700,-1.0,0.0,207.31,472.88,177.01
1744232830.8636500,-1.0,0.62,246.89,377.57,962.56
1744232831.3154200,-1.0,0.01,458.65,1492.65,1399.7
1744232831.8556100,-1.0,-0.56,277.55,833.64,70.86
1744232832.3046900,-1.0,0.04,266.47,1271.6,1458.26
1744232832.857770,-1.0,0.2,266.47,1163.37,232.78
1744232833.298740,-1.0,0.02,218.8,1072.27,220.68
1744232833.8412700,-1.0,0.02,223.46,978.39,220.27
1744232834.381590,-1.0,-0.04,190.75,863.65,214.3
1744232834.8205500,-1.0,-0.17,223.58,781.18,199.17
1744232835.3587000,-1.0,0.0,226.16,686.03,181.96
1744232835.7966600,-1.0,-0.23,252.86,587.86,170.47
1744232836.3394200,-1.0,0.0,263.45,476.27,988.04
1744232836.8817700,-1.0,0.29,266.76,356.63,988.36
1744232837.3227700,-1.0,0.48,291.17,275.43,1007.79
1744232837.8711700,-1.0,0.59,461.55,1233.94,951.69
1744232838.3114500,-1.0,0.02,123.77,1028.19,274.73
1744232838.858720,-1.0,-0.41,1561.54,747.45,237.81
1744232839.3007800,-1.0,-0.19,904.54,663.13,194.34
1744232839.8424600,-1.0,0.0,256.74,1222.53,195.08
1744232840.3838500,-1.0,0.01,286.71,1101.26,200.76
1744232840.8241500,-1.0,0.01,265.82,1012.16,202.77
1744232841.3643800,-1.0,0.01,278.74,892.44,211.31
1744232841.8039200,-1.0,0.01,292.56,793.94,204.16
1744232842.3426900,-1.0,-0.28,325.6,676.71,179.3
1744232842.8808800,-1.0,0.0,348.0,554.7,182.12
1744232843.3284100,-1.0,0.02,719.81,455.5,1517.63
1744232843.8711100,-1.0,0.65,370.74,337.13,1140.67
1744232844.3242100,-1.0,0.0,528.28,1507.32,1655.55
1744232844.8767100,-1.0,0.0,316.64,1377.58,1693.61
1744232899.0252300,-0.3,0.02,228.4,1144.76,195.78
1744232899.4663500,-0.4,0.02,227.71,1153.15,195.9
1744232900.0074700,-0.6,0.02,208.41,1148.89,195.86
1744232900.4482900,-0.7,0.02,224.27,1144.07,195.94
1744232900.990620,-0.9,0.02,224.72,1152.04,195.69
1744232901.5315500,-1.0,0.02,224.68,1139.98,196.02
1744232901.9719600,-1.0,0.02,224.15,1106.82,203.99
1744232902.512530,-1.0,0.09,219.65,1018.17,235.07
1744232902.9528300,-1.0,0.28,206.08,940.65,230.37
1744232903.4926800,-1.0,-0.11,219.78,848.36,214.38
1744232904.0361200,-1.0,-0.27,256.05,973.28,191.24
1744232904.4741100,-1.0,0.0,278.74,651.93,182.53
1744232905.0128100,-1.0,0.0,301.02,540.39,179.01
1744232905.4589600,-1.0,0.0,311.04,442.91,1623.78
1744232906.0026300,-1.0,0.07,327.27,331.12,1223.23
1744232906.440550,-1.0,0.69,357.08,243.9,487.8
1744232907.0017900,-1.0,0.01,357.08,1525.68,1399.05
1744232907.444000,-1.0,-0.03,152.88,1434.71,248.6
1744232907.9864600,-1.0,-0.26,196.18,1342.75,224.72
1744232908.5277800,-1.0,-0.24,235.11,1222.45,171.2
1744232908.9681900,-1.0,0.01,226.44,1126.53,164.99
1744232909.5088200,-1.0,0.01,228.69,1001.0,167.32
1744232909.948120,-1.0,0.01,222.03,918.08,166.42
1744232910.4869900,-1.0,0.01,227.18,801.99,161.72
1744232911.0250400,-1.0,0.01,230.61,676.06,146.34
1744232911.462680,-1.0,0.01,240.67,593.21,139.55
1744232911.9997200,-1.0,0.01,264.8,489.72,115.35
1744232912.4421000,-1.0,0.01,287.33,399.69,904.3
1744232912.9820000,-1.0,0.69,331.12,309.04,615.74
1744232913.5247000,-1.0,0.01,249.59,1372.47,150.76
1744232913.9631600,-1.0,-0.36,212.17,764.09,183.55
1744232914.5041300,-1.0,0.0,222.03,1163.78,169.77
1744232914.9443600,-1.0,0.0,223.54,1077.05,176.44
1744232915.4843900,-1.0,0.0,228.45,973.85,175.7
1744232916.023890,-1.0,0.0,230.69,856.46,180.12
1744232916.4623900,-1.0,0.0,245.17,772.18,177.33
1744232917.0007200,-1.0,0.0,245.5,666.98,171.65
1744232917.440160,-1.0,0.0,257.39,575.14,200.64
1744232917.9816600,-1.0,0.0,268.31,466.05,934.76
1744232918.5226900,-1.0,0.01,293.38,352.99,949.15
1744232918.9634200,-1.0,0.51,321.02,296.08,956.76
1744232919.5231400,-1.0,0.02,1758.99,1234.76,1612.98
1744232919.9758300,-1.0,0.02,140.13,1522.9,1792.65
1744232920.5172300,-1.0,0.02,109.95,1228.46,312.31
1744232920.9589100,-1.0,-0.04,119.6,1284.44,296.4
1744232921.5086700,-1.0,-0.34,1507.61,1177.31,275.1
1744232921.9496400,-1.0,0.0,185.72,1081.34,280.13
1744232922.4902700,-1.0,0.12,190.01,934.64,285.16
1744232923.0299200,-1.0,0.17,197.17,847.34,284.38
1744232923.469660,-1.0,0.02,231.43,740.13,267.58
1744232924.0143000,-1.0,-0.58,1298.91,633.0,229.79
1744232924.4593200,-1.0,0.0,283.77,536.99,1472.94
1744232925.0111000,-1.0,0.61,1544.74,433.01,1311.1
1744232925.456540,-1.0,0.69,261.4,348.58,1632.2
1744232926.0065300,-1.0,0.01,277.35,1562.03,1252.67
1744232926.4548100,-1.0,-0.58,340.36,1528.79,946.49
1744232927.0030800,-1.0,0.0,334.1,1355.38,1115.16
1744232927.444630,-1.0,0.0,335.62,1280.76,83.49
1744232927.9867700,-1.0,0.0,321.1,1168.11,102.96
1744232928.529680,-1.0,0.0,304.17,1062.66,122.54
1744232928.969560,-1.0,0.0,308.14,983.09,136.4
1744232929.5101300,-1.0,0.0,306.26,892.44,136.4
1744232929.9490600,-1.0,0.0,312.55,806.0,135.79
1744232930.4881600,-1.0,0.0,334.14,696.99,115.35
1744232931.028640,-1.0,-0.47,372.82,583.16,95.07
1744232931.4743800,-1.0,0.0,366.32,486.66,1582.03
1744232932.0237000,-1.0,0.9,338.97,374.38,1593.07
1744232932.4763500,-1.0,0.01,524.56,1601.78,1284.24
1744232933.0193200,-1.0,-0.87,310.18,1457.03,111.71
1744232933.4750300,-1.0,0.01,696.7,1958.78,1392.47
1744232934.0250200,-1.0,0.65,628.42,863.04,1555.9
1744232934.464610,-1.0,0.01,173.53,947.92,247.7
1744232935.006610,-1.0,-0.3,215.24,1175.59,201.87
1744232935.4470600,-1.0,-0.22,264.14,1108.58,165.31
1744232935.9872100,-1.0,0.0,260.79,998.01,128.68
1744232936.526330,-1.0,-0.03,278.37,884.22,107.54
1744232936.9646700,-1.0,-0.07,294.07,795.45,95.8
1744232937.502730,-1.0,0.0,303.19,692.86,75.89
1744232937.9401000,-1.0,0.0,322.78,592.97,57.41
1744232938.4773500,-1.0,-0.03,340.48,482.08,44.16
1744232939.0212000,-1.0,0.0,362.23,608.47,857.15
1744232939.4618700,-1.0,0.6,373.07,269.05,907.89
1744232940.0232800,-1.0,0.01,373.07,1079.71,1399.75
1744232940.473470,-1.0,0.29,373.07,1055.87,301.88
1744232941.0143000,-1.0,0.0,108.07,1127.84,279.15
1744232941.4543000,-1.0,-0.23,137.14,1055.26,262.87
1744232941.9944200,-1.0,-0.25,163.72,943.96,237.6
1744232942.5338700,-1.0,0.0,208.04,843.25,219.12
1744232942.972220,-1.0,0.0,208.0,753.83,214.34
1744232943.5117200,-1.0,0.0,205.06,650.46,203.99
1744232943.9492700,-1.0,0.0,221.04,560.91,242.59
1744232944.4949100,-1.0,0.04,234.46,437.1,1633.26
